Home,Away,Game_ID,H_Score,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_Score,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Date
Denver Nuggets,Phoenix Suns,0022101099,130,0.589,0.478,0.353,0.792,44.7,27.9,14.5,7.3,3.8,2.6,113.1,110.5,0.585,140,0.808,0.486,0.367,0.801,45.4,27.3,12.9,8.5,4.5,8.4,114.7,106.2,0.584,0,03/24/2022
Charlotte Hornets,Utah Jazz,0022101100,107,0.507,0.463,0.361,0.737,44.1,27.1,13.0,8.5,4.9,0.2,112.9,112.6,0.567,101,0.616,0.471,0.363,0.778,47.3,22.8,14.5,7.3,5.1,6.2,116.1,109.9,0.591,1,03/25/2022
Detroit Pistons,Washington Wizards,0022101101,97,0.274,0.429,0.326,0.778,43.5,23.3,14.5,7.6,4.8,-8.0,105.1,113.1,0.531,100,0.417,0.468,0.338,0.784,43.9,25.0,13.3,6.5,5.0,-3.5,110.0,113.3,0.565,0,03/25/2022
Atlanta Hawks,Golden State Warriors,0022101102,121,0.493,0.467,0.37,0.812,44.4,24.7,12.1,7.1,4.4,0.6,114.3,113.7,0.576,110,0.658,0.468,0.362,0.764,46.0,27.4,15.0,9.1,4.6,6.1,112.1,106.2,0.581,1,03/25/2022
Minnesota Timberwolves,Dallas Mavericks,0022101104,116,0.568,0.454,0.355,0.778,44.0,25.1,14.1,8.6,5.6,3.2,113.4,110.1,0.57,95,0.616,0.457,0.343,0.767,44.9,24.2,13.1,7.2,4.2,2.9,111.2,108.3,0.564,1,03/25/2022
Miami Heat,New York Knicks,0022101103,103,0.644,0.462,0.373,0.812,45.3,26.3,14.8,7.6,3.4,4.4,112.2,107.9,0.578,111,0.425,0.437,0.357,0.747,47.6,22.3,13.9,7.1,5.0,-0.7,109.3,110.3,0.549,0,03/25/2022
Portland Trail Blazers,Houston Rockets,0022101105,106,0.375,0.444,0.348,0.761,43.8,22.8,14.2,7.8,4.5,-7.3,108.2,115.7,0.553,125,0.247,0.454,0.346,0.71,41.5,23.0,16.4,7.1,4.5,-9.2,107.2,116.2,0.561,0,03/25/2022
LA Clippers,Philadelphia 76ers,0022101106,97,0.486,0.454,0.364,0.788,44.5,23.9,14.0,7.5,4.9,-1.4,108.0,109.4,0.557,122,0.625,0.462,0.359,0.82,43.5,23.9,12.7,7.7,5.5,2.1,112.0,109.7,0.573,0,03/25/2022
New Orleans Pelicans,San Antonio Spurs,0022101107,103,0.425,0.455,0.333,0.789,46.3,25.4,14.5,8.2,4.1,-1.1,110.5,111.3,0.556,107,0.397,0.466,0.352,0.748,44.7,27.7,12.6,7.5,5.0,-0.4,111.5,111.7,0.554,0,03/26/2022
Miami Heat,Brooklyn Nets,0022101111,95,0.635,0.462,0.373,0.813,45.2,26.2,14.8,7.6,3.4,4.3,112.3,108.1,0.578,110,0.521,0.474,0.358,0.802,44.4,25.3,14.0,7.0,5.3,0.2,112.9,112.6,0.574,0,03/26/2022
Orlando Magic,Sacramento Kings,0022101108,110,0.27,0.433,0.329,0.79,44.1,23.4,14.6,6.8,4.5,-7.8,103.9,111.8,0.538,114,0.351,0.459,0.345,0.768,42.8,23.5,14.1,7.2,4.4,-5.3,109.7,114.8,0.56,0,03/26/2022
Toronto Raptors,Indiana Pacers,0022101109,131,0.562,0.443,0.35,0.755,46.6,22.5,12.9,9.1,4.8,1.5,111.6,110.3,0.541,91,0.338,0.461,0.341,0.763,44.8,25.1,14.6,6.9,5.6,-2.6,111.3,113.9,0.56,1,03/26/2022
Memphis Grizzlies,Milwaukee Bucks,0022101112,127,0.689,0.461,0.349,0.733,49.0,25.4,13.1,9.7,6.6,5.7,114.2,108.8,0.552,102,0.63,0.467,0.37,0.775,46.4,23.5,13.4,7.5,3.9,4.0,114.1,110.2,0.581,1,03/26/2022
Denver Nuggets,Oklahoma City Thunder,0022101113,113,0.581,0.479,0.355,0.791,44.6,27.8,14.6,7.3,3.8,2.4,113.3,110.9,0.586,107,0.288,0.426,0.318,0.763,45.8,21.8,13.8,7.7,4.7,-7.6,103.4,111.0,0.527,1,03/26/2022
Cleveland Cavaliers,Chicago Bulls,0022101110,94,0.562,0.468,0.352,0.761,45.7,26.0,15.1,7.3,4.4,2.7,110.6,108.1,0.569,98,0.575,0.481,0.373,0.81,42.8,24.3,12.9,7.2,4.3,0.3,112.6,112.5,0.58,0,03/26/2022
Portland Trail Blazers,Houston Rockets,0022101114,98,0.37,0.444,0.347,0.761,43.8,22.9,14.3,7.7,4.5,-7.5,108.2,115.8,0.553,115,0.257,0.454,0.347,0.712,41.4,23.1,16.4,7.2,4.5,-8.8,107.5,116.1,0.563,0,03/26/2022
Washington Wizards,Golden State Warriors,0022101117,123,0.425,0.468,0.337,0.785,43.9,25.0,13.4,6.5,5.0,-3.4,109.8,113.1,0.565,115,0.649,0.468,0.361,0.764,46.0,27.4,15.0,9.0,4.6,5.8,112.1,106.4,0.581,1,03/27/2022
Detroit Pistons,New York Knicks,0022101115,102,0.27,0.429,0.325,0.779,43.5,23.2,14.5,7.7,4.8,-8.0,105.0,112.8,0.531,104,0.432,0.437,0.357,0.748,47.6,22.3,13.8,7.2,5.0,-0.5,109.6,110.4,0.549,0,03/27/2022
Boston Celtics,Minnesota Timberwolves,0022101116,134,0.622,0.461,0.351,0.817,47.0,24.8,13.8,7.3,6.1,6.8,112.5,105.8,0.573,112,0.573,0.455,0.355,0.778,44.0,25.1,14.1,8.6,5.6,3.5,113.5,109.9,0.57,1,03/27/2022
Phoenix Suns,Philadelphia 76ers,0022101118,114,0.811,0.488,0.368,0.801,45.2,27.4,12.8,8.5,4.4,8.4,115.0,106.6,0.585,104,0.63,0.462,0.36,0.82,43.6,23.8,12.7,7.8,5.5,2.4,112.2,109.6,0.573,1,03/27/2022
New Orleans Pelicans,Los Angeles Lakers,0022101119,116,0.419,0.455,0.333,0.788,46.3,25.4,14.4,8.2,4.2,-1.1,110.6,111.4,0.555,108,0.425,0.468,0.35,0.728,43.3,23.7,14.4,7.6,5.3,-2.6,109.5,112.0,0.564,1,03/27/2022
Dallas Mavericks,Utah Jazz,0022101121,114,0.608,0.456,0.341,0.767,44.9,24.1,13.1,7.1,4.2,2.5,111.1,108.4,0.563,100,0.608,0.471,0.363,0.778,47.2,22.8,14.5,7.4,5.0,6.1,116.1,110.0,0.59,1,03/27/2022
Brooklyn Nets,Charlotte Hornets,0022101120,110,0.527,0.474,0.357,0.803,44.3,25.3,14.0,7.1,5.3,0.4,112.9,112.3,0.574,119,0.514,0.463,0.362,0.737,44.1,27.1,12.9,8.5,4.9,0.3,112.9,112.6,0.567,0,03/27/2022
Toronto Raptors,Boston Celtics,0022101127,115,0.568,0.445,0.351,0.755,46.6,22.7,12.8,9.1,4.7,2.1,112.0,110.1,0.543,112,0.627,0.463,0.352,0.818,46.9,24.8,13.8,7.3,6.1,7.0,112.8,105.9,0.574,1,03/28/2022
