Home,Away,Game_ID,H_Score,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_Score,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Date
Brooklyn Nets,Cleveland Cavaliers,0021700058,112,0.5,0.466,0.361,0.793,43.9,21.1,16.3,9.2,4.6,0.9,113.6,112.6,0.577,107,0.75,0.474,0.351,0.824,45.6,22.4,15.5,5.2,4.4,2.1,110.8,109.0,0.576,1,10/25/2017
Miami Heat,San Antonio Spurs,0021700059,100,0.667,0.469,0.356,0.673,42.6,23.6,15.1,7.9,6.9,2.6,106.6,104.6,0.552,117,1.0,0.438,0.264,0.741,54.0,22.7,14.4,6.9,8.9,7.6,101.4,94.1,0.496,0,10/25/2017
Detroit Pistons,Minnesota Timberwolves,0021700056,122,0.5,0.448,0.312,0.818,41.0,19.7,13.9,9.1,2.0,0.3,103.8,103.5,0.528,101,0.5,0.467,0.378,0.755,40.3,23.5,15.6,8.2,2.8,-6.6,107.4,113.5,0.555,1,10/25/2017
Dallas Mavericks,Memphis Grizzlies,0021700061,103,0.0,0.405,0.362,0.72,40.6,21.8,13.7,7.6,2.8,-14.5,99.7,113.6,0.515,94,1.0,0.439,0.333,0.775,42.4,19.0,13.1,7.6,4.8,10.3,107.6,97.6,0.553,1,10/25/2017
Charlotte Hornets,Denver Nuggets,0021700055,110,0.333,0.418,0.293,0.716,50.7,16.7,17.3,4.0,4.0,-1.0,97.7,99.3,0.525,93,0.333,0.463,0.388,0.745,47.9,25.0,20.5,5.5,2.4,0.7,101.4,100.7,0.556,1,10/25/2017
Oklahoma City Thunder,Indiana Pacers,0021700060,114,0.333,0.443,0.324,0.667,39.2,22.9,16.4,12.6,5.8,3.4,104.1,100.7,0.528,96,0.5,0.519,0.323,0.722,41.9,22.5,13.1,7.3,4.6,2.4,114.8,112.9,0.589,1,10/25/2017
Chicago Bulls,Atlanta Hawks,0021700065,91,0.0,0.425,0.376,0.85,43.3,23.4,17.5,4.5,3.4,-11.7,99.3,111.0,0.522,86,0.25,0.423,0.326,0.855,43.1,18.0,15.3,9.0,3.2,-8.5,98.5,106.5,0.512,1,10/26/2017
Portland Trail Blazers,LA Clippers,0021700068,103,0.75,0.444,0.44,0.823,52.9,18.9,15.1,7.4,6.5,18.1,111.9,94.3,0.559,104,1.0,0.464,0.386,0.75,50.7,22.9,13.1,11.8,2.9,24.8,111.1,86.6,0.555,0,10/26/2017
Milwaukee Bucks,Boston Celtics,0021700067,89,0.75,0.489,0.34,0.807,39.0,22.6,14.6,8.2,4.6,0.3,107.9,106.6,0.582,96,0.5,0.435,0.364,0.705,46.6,22.4,15.1,9.6,4.5,5.0,103.5,99.5,0.535,0,10/26/2017
Sacramento Kings,New Orleans Pelicans,0021700069,106,0.25,0.426,0.389,0.708,45.0,18.8,14.4,8.2,3.1,-4.9,99.5,104.9,0.499,114,0.25,0.452,0.341,0.74,44.4,20.1,17.3,7.4,6.7,-5.5,101.4,106.2,0.554,0,10/26/2017
