H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Home_W_Pct_10,Away_W_Pct_10,H_Team_Elo_Before,A_Team_Elo_Before
0.4,0.461,0.329,0.783,41.1,22.0,15.0,7.3,6.5,-3.0,104.7,108.4,0.55,0.5,0.466,0.372,0.773,40.5,22.7,15.4,7.1,3.7,-7.5,108.6,115.7,0.557,0,0.2,0.3,1487.223003669054,1477.7014422984178
0.5,0.47,0.362,0.741,45.1,22.5,15.8,7.4,5.7,1.1,106.6,105.0,0.569,0.667,0.484,0.435,0.792,43.3,24.2,14.4,8.4,5.5,7.6,113.6,105.0,0.589,0,0.3,0.3,1516.5079780558965,1530.4838189768554
0.8,0.44,0.377,0.713,51.3,20.4,14.5,9.4,4.1,14.1,108.1,93.7,0.539,0.571,0.515,0.391,0.851,43.9,29.2,17.9,6.5,8.8,3.8,114.9,111.3,0.631,0,0.3,0.4,1525.8322218356395,1524.335632435834
0.667,0.431,0.351,0.752,46.0,21.2,14.9,9.5,4.6,5.6,102.4,97.8,0.534,0.667,0.431,0.303,0.767,50.6,21.0,15.5,7.9,7.7,1.5,102.1,100.9,0.506,1,0.4,0.3,1542.197336018978,1512.5409531093878
0.4,0.442,0.314,0.717,47.0,21.6,16.4,7.8,4.1,-1.2,102.9,103.9,0.52,0.5,0.454,0.358,0.748,47.7,23.4,15.5,6.2,3.2,0.5,104.2,103.9,0.535,1,0.2,0.3,1513.799527725704,1514.1908638736202
0.714,0.441,0.311,0.821,46.1,22.0,16.9,7.8,5.3,2.5,106.8,104.0,0.566,0.333,0.439,0.376,0.689,44.6,23.5,17.4,8.8,3.6,-6.1,101.5,106.7,0.531,0,0.3,0.2,1511.2626874308885,1484.7434457538225
0.667,0.493,0.384,0.772,39.3,23.7,14.9,8.0,4.1,0.8,106.3,104.5,0.586,0.5,0.459,0.335,0.721,42.8,23.9,16.2,11.8,7.2,9.7,108.3,98.8,0.548,0,0.3,0.2,1497.9426822986063,1521.1918580144174
0.5,0.483,0.347,0.757,42.3,20.8,15.1,8.5,3.9,-0.8,109.3,110.5,0.568,0.167,0.427,0.364,0.774,42.9,18.9,15.1,8.0,3.2,-9.2,98.0,107.7,0.506,1,0.2,0.1,1493.0077102032908,1458.6020422682573
0.333,0.451,0.278,0.713,42.8,21.0,17.9,8.0,4.9,-6.6,95.8,102.4,0.521,0.714,0.456,0.354,0.793,43.0,21.5,13.9,10.2,2.5,5.5,107.7,102.8,0.541,1,0.2,0.4,1477.6343795956911,1525.2903240344567
0.429,0.444,0.367,0.76,43.2,21.1,15.5,8.2,3.8,-3.4,108.5,111.9,0.554,0.333,0.432,0.335,0.756,41.8,16.6,17.0,8.0,5.8,-13.9,97.0,110.2,0.528,0,0.3,0.2,1484.430628907351,1478.9856791710315
0.429,0.454,0.381,0.692,45.0,23.9,17.8,8.9,3.7,-4.1,103.1,106.3,0.545,0.143,0.424,0.374,0.858,41.6,20.9,14.4,9.0,3.4,-8.0,99.7,106.7,0.524,1,0.3,0.0,1496.5074321349118,1445.9683930420724
0.429,0.468,0.347,0.745,44.6,23.4,16.3,7.6,5.5,-1.2,105.1,105.6,0.564,0.571,0.463,0.388,0.8,39.7,21.9,15.2,8.3,3.7,-5.8,109.0,114.6,0.562,0,0.3,0.4,1500.4211938926376,1484.5869236448896
0.714,0.427,0.332,0.781,43.6,19.2,13.3,7.8,5.3,5.2,104.1,99.3,0.543,0.714,0.487,0.441,0.784,43.0,24.4,14.6,8.6,4.8,8.7,113.0,103.7,0.593,0,0.4,0.4,1516.0170039633997,1546.5706031401144
